,Address,Borough,Geocode,Node
0,"540 West 145th Street, New York City",Manhattan,"(40.8260052, -73.949854)",561035361
56,"145 & 147 Madison Ave, New York City",Manhattan,"(40.74619633333333, -73.983977)",3252586222
57,"165 Madison Avenue, New York City",Manhattan,"(40.746812750000004, -73.98327882871746)",42445903
58,"191 Madison Avenue, New York City",Manhattan,"(40.74802628571428, -73.98264385714285)",4960503208
59,"199 Madison Avenue, New York City",Manhattan,"(40.7482878, -73.9824103)",4960503208
60,"227 Madison Avenue, New York City",Manhattan,"(40.7598067, -73.9741741)",3977886242
88,"175 East 96th Street, New York City",Manhattan,"(40.785616, -73.9498645)",7325349531
91,"201 West 106th Street, New York City",Manhattan,"(40.8006923, -73.9659254)",4205830395
94,"1020 Third Avenue, New York City",Manhattan,"(40.812824, -73.923829)",7477281986
99,"209 West 96th Street, New York City",Manhattan,"(40.7946572, -73.97102558044648)",4205805396
100,"411 Grand Street, New York City",Manhattan,"(40.711920199999994, -73.95384408072891)",3630219671
101,"411 Grand Street, New York City",Manhattan,"(40.711920199999994, -73.95384408072891)",3630219671
102,"109 West Houston Street, New York City",Manhattan,"(40.72743495, -74.00073330000001)",5829880525
106,"163 West 97th Street, New York City",Manhattan,"(40.7945587, -73.9687567)",5669156315
107,"163 West 97th Street, New York City",Manhattan,"(40.7945587, -73.9687567)",5669156315
115,"90 Bennett Avenue, New York City",Manhattan,"(40.8531163, -73.9355226)",42445689
118,"4961 Broadway, New York City",Manhattan,"(40.8681188, -73.9204207)",5071822867
122,"111 West 71st Street, New York City",Manhattan,"(40.77706815, -73.97959553350846)",42437384
123,"111 West 71st Street, New York City",Manhattan,"(40.77706815, -73.97959553350846)",42437384
135,"437 Lenox Avenue, New York City",Manhattan,"(40.812104142857144, -73.94244528571429)",3099326124
136,"448 Lenox Avenue, New York City",Manhattan,"(40.8123399, -73.9417629)",4207724583
137,"55 Lenox Avenue, New York City",Manhattan,"(40.8000674, -73.951543713737)",3099326117
138,"175 Varick Street, New York City",Manhattan,"(40.7272907, -74.0057436)",42439345
139,"175 Varick Street, New York City",Manhattan,"(40.7272907, -74.0057436)",42439345
140,"160 Varick Street, New York City",Manhattan,"(40.7265969, -74.00541)",3252582132
141,"160 Varick Street, New York City",Manhattan,"(40.7265969, -74.00541)",3252582132
142,"431 Canal Street, New York City",Manhattan,"(40.7232317, -74.0069711)",4142105803
143,"431 Canal Street, New York City",Manhattan,"(40.7232317, -74.0069711)",4142105803
144,"304 Hudson Street, New York City",Manhattan,"(40.7264039, -74.0072925)",42436359
146,"103 Charlton Street, New York City",Manhattan,"(40.7275353, -74.0081354)",42436097
147,"103 Charlton Street, New York City",Manhattan,"(40.7275353, -74.0081354)",42436097
148,"345 Hudson Street, New York City",Manhattan,"(40.7274727, -74.0074855)",42436364
149,"345 Hudson Street, New York City",Manhattan,"(40.7274727, -74.0074855)",42436364
167,"155 Water Street, New York City",Manhattan,"(40.706224, -74.00574533333332)",7138157351
168,"160 Water Street, New York City",Manhattan,"(40.7066256, -74.0056309)",1772140794
169,"172 Water Street, New York City",Manhattan,"(40.7066542173913, -74.0054492173913)",7139624398
170,"95 Fulton Street, New York City",Manhattan,"(40.7093963, -74.0059139)",4985377328
171,"86 Trinity Place, New York City",Manhattan,"(40.7087107, -74.0126127206991)",4739552801
172,"2 Rector Street, New York City",Manhattan,"(40.7079883, -74.0134495)",4207000390
173,"80 Greenwich Street, New York City",Manhattan,"(40.7072487, -74.0140632)",4149936244
174,"80 Greenwich Street, New York City",Manhattan,"(40.7072487, -74.0140632)",4149936244
175,"94 Greenwich Street, New York City",Manhattan,"(40.7080741, -74.0136854)",4207000393
176,"110 Greenwich Street, New York City",Manhattan,"(40.7086724, -74.0134276)",42436184
182,"356 Madison Street, New York City",Manhattan,"(40.7132677, -73.9819109)",42437775
183,"334 Madison Street, New York City",Manhattan,"(40.7130611, -73.9827774)",4501160115
213,"1437 2nd Avenue, New York City",Manhattan,"(40.7706873, -73.9572211)",42430068
214,"1721 1st Avenue, New York City",Manhattan,"(40.7790758, -73.9480038)",7140667645
225,"122 Henry Street, New York City",Manhattan,"(40.71282909999999, -73.99194531122413)",6330018917
226,"260 West 23rd Street, New York City",Manhattan,"(40.74462755, -73.99809410901324)",4205565533
229,"Lexington Avenue & East 118th Street, New York City",Manhattan,"(40.800113, -73.940607)",42439489
232,"303 Park Avenue South, New York City",Manhattan,"(40.7402689, -73.986028)",5266429281
233,"302 3rd Avenue, New York City",Manhattan,"(40.6769363, -73.9868702850592)",5956060042
