"About the data: Exported on Jun 01, 2020. Criteria: Text - '""water insecurity"" OR ""water security"" ' in title and abstract. For more information, please see https://app.dimensions.ai/datasources. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,Publisher,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Research Organizations - standardized,GRID IDs,City of Research organization,State of Research organization,Country of Research organization,Funder,Funder Group,Funder Country,UIDs of supporting grants,Supporting Grants,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,RCDC Categories,HRCS HC Categories,HRCS RAC Categories,ICRP Cancer Types,ICRP CSO Categories,Units of Assessment,Sustainable Development Goals
17,pub.1127831613,10.1016/j.atmosres.2020.105062,,,"Integrating an hourly weather generator with an hourly rainfall SWAT model for climate change impact assessment in the Ru River Basin, China",Atmospheric Research,,Elsevier,,2020-11,2020,244,,105062,Closed,Article,"Yang, Xiaoying; He, Ruimin; Ye, Jinyin; Tan, Mou Leong; Ji, Xiyan; Tan, Lit; Wang, Guoqing","Yang, Xiaoying (Fudan University)","Yang, Xiaoying (Fudan University); He, Ruimin (); Ye, Jinyin (); Tan, Mou Leong (University of Science Malaysia); Ji, Xiyan (Fudan University); Tan, Lit (Fudan University); Wang, Guoqing ()",University of Science Malaysia; Fudan University,grid.11875.3a; grid.8547.e,George Town; Shanghai,Pulau Pinang; Shanghai,Malaysia; China,Ministry of Science and Technology of the People's Republic of China; National Natural Science Foundation of China,,China; China,grant.8274452,51679144,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1127831613,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences,,,,,,C14 Geography and Environmental Studies,13 Climate Action
20,pub.1126696366,10.1016/j.gsd.2020.100390,,,Synthesizing existing frameworks to identify the potential for Managed Aquifer Recharge in a karstic and semi-arid region using GIS Multi Criteria Decision Analysis,Groundwater for Sustainable Development,,Elsevier,,2020-10,2020,11,,100390,Closed,Article,"Fathi, Sajad; Hagen, Jenny Sjåstad; Haidari, Amir Hoseen","Fathi, Sajad (IHE Delft Institute for Water Education)","Fathi, Sajad (IHE Delft Institute for Water Education); Hagen, Jenny Sjåstad (IHE Delft Institute for Water Education); Haidari, Amir Hoseen (Delft University of Technology)",IHE Delft Institute for Water Education; Delft University of Technology,grid.420326.1; grid.5292.c,Delft; Delft,; Zuid-Holland,Netherlands; Netherlands,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1126696366,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,,,,,,B12 Engineering,
20,pub.1125895370,10.1016/j.gsd.2020.100381,,,Assessment and monitoring of groundwater quality in semi –arid region,Groundwater for Sustainable Development,,Elsevier,,2020-10,2020,11,,100381,Closed,Article,"Singhal, A.; Gupta, R.; Singh, A.N.; Shrinivas, A.","Singhal, A. (Birla Institute of Technology and Science, Pilani)","Singhal, A. (Birla Institute of Technology and Science, Pilani); Gupta, R. (Birla Institute of Technology and Science, Pilani); Singh, A.N. (Birla Institute of Technology and Science, Pilani); Shrinivas, A. (Birla Institute of Technology and Science, Pilani)","Birla Institute of Technology and Science, Pilani",grid.418391.6,Pilāni,Rajasthan,India,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1125895370,09 Engineering; 0907 Environmental Engineering,Clinical Research,,,,,B12 Engineering,6 Clean Water and Sanitation
88,pub.1127315351,10.1016/j.chemosphere.2020.126933,32402881,,Drinking appraisal of coastal groundwater in Bangladesh: An approach of multi-hazards towards water security and health safety,Chemosphere,,Elsevier,,2020-09,2020,255,,126933,Closed,Article,"Islam, Abu Reza Md Towfiqul; Siddiqua, Tahmina; Zahid, Anwar; Tasnim, Sikder Sanchita; Rahman, Mostafizur","Rahman, Mostafizur (Jahangirnagar University)","Islam, Abu Reza Md Towfiqul (Begum Rokeya University); Siddiqua, Tahmina (Begum Rokeya University); Zahid, Anwar (); Tasnim, Sikder Sanchita (Jahangirnagar University); Rahman, Mostafizur (Jahangirnagar University)",Begum Rokeya University; Jahangirnagar University,grid.443106.4; grid.411808.4,Rangpur City; Dhaka,; ,Bangladesh; Bangladesh,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1127315351,09 Engineering; 11 Medical and Health Sciences; 0502 Environmental Science and Management; 1117 Public Health and Health Services; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0907 Environmental Engineering,Clinical Research,Generic Health Relevance,,,,C14 Geography and Environmental Studies,6 Clean Water and Sanitation
25,pub.1127864583,10.1016/j.envsci.2020.05.017,,PMC7247996,The role of ecosystems in mitigation and management of Covid-19 and other zoonoses,Environmental Science & Policy,,Elsevier,,2020-09,2020,111,,7-17,All OA; Bronze,Article,"Everard, Mark; Johnston, Paul; Santillo, David; Staddon, Chad","Everard, Mark (University of the West of England)","Everard, Mark (University of the West of England); Johnston, Paul (University of Exeter); Santillo, David (University of Exeter); Staddon, Chad (University of the West of England)",University of the West of England; University of Exeter,grid.6518.a; grid.8391.3,Bristol; Exeter,South Gloucestershire; ,United Kingdom; United Kingdom,,,,,,0,0,,,10,https://doi.org/10.1016/j.envsci.2020.05.017,https://app.dimensions.ai/details/publication/pub.1127864583,05 Environmental Sciences; 0502 Environmental Science and Management,,,,,,C14 Geography and Environmental Studies,
25,pub.1126274648,10.1016/j.gecco.2020.e01037,,,Public policies for sustainability and water security: The case of Almeria (Spain),Global Ecology and Conservation,,Elsevier,,2020-09,2020,23,,e01037,All OA; Pure Gold,Article,"Caparrós-Martínez, José Luis; Rueda-Lópe, Nuria; Milán-García, Juan; de Pablo Valenciano, Jaime","de Pablo Valenciano, Jaime (University of Almería)","Caparrós-Martínez, José Luis (University of Almería); Rueda-Lópe, Nuria (University of Almería); Milán-García, Juan (University of Almería); de Pablo Valenciano, Jaime (University of Almería)",University of Almería,grid.28020.38,Almería,,Spain,,,,,,0,0,,,,https://doi.org/10.1016/j.gecco.2020.e01037,https://app.dimensions.ai/details/publication/pub.1126274648,05 Environmental Sciences; 0502 Environmental Science and Management,,,,,,C14 Geography and Environmental Studies,
28,pub.1124232596,10.1016/j.tourman.2020.104079,,,A spatial approach for the management of groundwater quality in tourist destinations,Tourism Management,,Elsevier,,2020-08,2020,79,,104079,Closed,Article,"Silva, Kaique Brito; Mattos, Jonatas Batista","Mattos, Jonatas Batista (Federal University of Bahia)","Silva, Kaique Brito (State University of Campinas); Mattos, Jonatas Batista (Federal University of Bahia)",Federal University of Bahia; State University of Campinas,grid.8399.b; grid.411087.b,Salvador; Campinas,; ,Brazil; Brazil,Coordenação de Aperfeicoamento de Pessoal de Nível Superior; São Paulo Research Foundation,,Brazil; Brazil,grant.7676949,18/09401-1,0,0,,,68,,https://app.dimensions.ai/details/publication/pub.1124232596,"1505 Marketing; 1506 Tourism; 1504 Commercial Services; 15 Commerce, Management, Tourism and Services",,,,,,"C24 Sport and Exercise Sciences, Leisure and Tourism",
88,pub.1126387089,10.1016/j.jenvman.2020.110496,32292168,,Is too much personal dread stifling alternative pathways to improving urban water security?,Journal of Environmental Management,,Elsevier,Australia; Decision Making; Surveys and Questionnaires; Water; Water Supply,2020-07,2020,265,,110496,Closed,Article,"Kosovac, Anna; Davidson, Brian","Kosovac, Anna (University of Melbourne; University of Melbourne)","Kosovac, Anna (University of Melbourne; University of Melbourne); Davidson, Brian (University of Melbourne)",University of Melbourne,grid.1008.9,Melbourne,Victoria,Australia,,,,,,0,0,,,11,,https://app.dimensions.ai/details/publication/pub.1126387089,17 Psychology and Cognitive Sciences; 1701 Psychology,Behavioral and Social Science; Clinical Research,,,,,"A04 Psychology, Psychiatry and Neuroscience",
20,pub.1127614713,10.1061/(asce)ee.1943-7870.0001715,,,Urban Water Revolution: Sustainable Water Futures for California Cities,Journal of Environmental Engineering,,American Society of Civil Engineers (ASCE),,2020-07,2020,146,7,04020065,All OA; Hybrid,Article,"Luthy, Richard G.; Wolfand, Jordyn M.; Bradshaw, Jonathan L.","Luthy, Richard G. (Stanford University)","Luthy, Richard G. (Stanford University); Wolfand, Jordyn M. (University of Portland); Bradshaw, Jonathan L. (Stanford University)",Stanford University; University of Portland,grid.168010.e; grid.267012.0,Stanford; Portland,California; Oregon,United States; United States,,,,,,0,0,,,43,https://ascelibrary.org/doi/pdf/10.1061/%28ASCE%29EE.1943-7870.0001715,https://app.dimensions.ai/details/publication/pub.1127614713,09 Engineering; 0907 Environmental Engineering,,,,,,C14 Geography and Environmental Studies,11 Sustainable Cities and Communities
17,pub.1125976777,10.1016/j.jhydrol.2020.124905,,,"A Review of Remote Sensing Applications in Agriculture for Food Security: Crop Growth and Yield, Irrigation, and Crop Losses",Journal of Hydrology,,Elsevier,,2020-07,2020,586,,124905,Closed,Article,"Karthikeyan, L.; Chawla, Ila; Mishra, Ashok K.","Mishra, Ashok K. ","Karthikeyan, L. (Indian Institute of Technology Bombay); Chawla, Ila (Indian Institute of Science Bangalore); Mishra, Ashok K. ()",Indian Institute of Technology Bombay; Indian Institute of Science Bangalore,grid.417971.d; grid.34980.36,Mumbai; Bengaluru,; ,India; India,Directorate for Engineering; National Natural Science Foundation of China,NSF,United States; China,grant.7706487; grant.6542578,1841629; 1653841,0,0,,,4,,https://app.dimensions.ai/details/publication/pub.1125976777,09 Engineering; 0909 Geomatic Engineering,,,,,,C14 Geography and Environmental Studies,2 Zero Hunger
