Date,Service Category,Program Area,Program Type,Provider,Program Site Name,Borough,Street Address,City,State,Postcode,Latitude,Longitude,Community Board,Community Name,Council District,Census Tract 2010,NDA,NTA,BIN,BBL,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
06/01/2019,Afterschool Programs,Compass,COMPASS Elementary,"Imani House, Inc.",P.S. 282 Park Slope,Brooklyn,180 6 AVENUE,BROOKLYN,NY,11217,40.67672,-73.97774,NULL,NULL,NULL,,NULL,NULL,3019597,3009500024,POINT (-73.97774 40.67672),17619,14,2,27,50
06/01/2019,Afterschool Programs,Compass,COMPASS Elementary,Coalition for Hispanic Family Services,P.S. 123 Suydam,Brooklyn,100 IRVING AVENUE,BROOKLYN,NY,11237,40.70377,-73.9227,NULL,NULL,Council District 34 Brooklyn,445,NULL,BK77,3072966,3032100001,POINT (-73.9227 40.70377),13828,42,2,30,53
06/01/2019,Afterschool Programs,Beacon,Beacon,"Queens Community House, Inc.",30Q149 - P.S. 149 Christa Mcauliffe School,Queens,93-11 34th Avenue,Jackson Heights,NY,11372,40.75484,-73.87461,Queens CD 003,Jackson Heights,Council District 025 Queens,273,Queens Neighborhood Development Area 003,QN28,4035441,4014410015,POINT (-73.87461 40.75484),14783,65,3,5,73
06/01/2019,Afterschool Programs,Compass,COMPASS Elementary,Brooklyn Childrens Museum Corp,P.S. 189 The Bilingual Center,Brooklyn,1100 EAST NEW YORK AVENUE,BROOKLYN,NY,11212,40.66556,-73.92625,NULL,NULL,Council District 41 Brooklyn,892,NULL,BK81,3099537,3045990001,POINT (-73.92625 40.665560000000006),17614,61,2,17,40
06/01/2019,Community Services,Compass,COMPASS Elementary,HANAC INC,P.S. 212 -Q-,Queens,34-25 82 STREET,QUEENS,NY,11372,40.75308,-73.88491,NULL,NULL,Council District 25 Queens,283,NULL,QN28,4437128,4014430019,POINT (-73.88491 40.75308),14783,65,3,5,73
06/01/2019,Community Services,Beacon,Beacon,"Samuel Field YM & YWHA, Inc.",MS 172,Queens,81-14 257 STREET,QUEENS,NY,11004,40.74194,-73.71297,NULL,NULL,Council District 23 Queens,157902,NULL,QN44,4178464,4087310004,POINT (-73.71297 40.74194000000001),16098,63,3,16,63
06/01/2019,Community Services,Compass,COMPASS Middle School,"Roads to Success, Inc",M.S. 839,Brooklyn,701 Caton Avenue,Brooklyn,NY,11218,40.64759,-73.97341,NULL,NULL,Council District 39 Brooklyn,504,NULL,BK40,3000000,3053210064,POINT (-73.97341 40.64759),17620,9,2,27,45
06/01/2019,Community Services,Compass,COMPASS Middle School,The Noel Pointer Foundation Inc.,P.S. 124 Osmond A Church,Queens,129-15 150 AVENUE,QUEENS,NY,11420,40.66506,-73.8117,NULL,NULL,Council District 28 Queens,84602,NULL,QN55,4257530,4118820001,POINT (-73.8117 40.66506),24016,62,3,46,64
06/01/2019,Community Services,Discretionary,"Discretionary Over $25,000","Women for  Afghan Women, Inc.","Women for Afghan Women, Inc.",NULL,71-19 162nd Street,NULL,NY,,,,NULL,NULL,NULL,,NULL,NULL,,,,,,,,
06/01/2019,Community Services,Discretionary,"Discretionary Over $25,000",Class Size Matters,PS 343,Manhattan,1 Peck Slip,New York,NY,10038,40.70877,-74.00241,101,NULL,1,1501,0,MN25,1001363,1001060009,POINT (-74.00241 40.70877),13096,56,4,32,1
06/01/2019,Community Services,Compass,COMPASS Middle School,Good Shepherd Services,J.H.S. 292 Margaret S. Douglas,Brooklyn,301 VERMONT STREET,BROOKLYN,NY,11207,40.67199,-73.8939,NULL,NULL,Council District 42 Brooklyn,1144,NULL,BK85,3083931,3037400001,POINT (-73.8939 40.67199),17214,45,2,25,47
06/01/2019,Community Services,Compass,COMPASS Middle School,"Boys and Girls Harbor, Inc",Mott Hall II,Manhattan,234 WEST 109 STREET,MANHATTAN,NY,10025,40.803,-73.9658,NULL,NULL,NULL,,NULL,NULL,1056676,1018800013,POINT (-73.9658 40.803),12422,20,4,23,15
06/01/2019,Community Services,Compass,COMPASS Middle School,"New York Junior Tennis League, Inc","Urban Assembly School for Applied Math and Science, The",Bronx,1595 BATHGATE AVENUE,BRONX,NY,10457,40.83942,-73.90156,NULL,NULL,NULL,,NULL,NULL,2009555,2029130001,POINT (-73.90156 40.839420000000004),10935,34,5,42,25
06/01/2019,Educational Services,Beacon,Beacon,"Woodside On The Move, Inc.",30Q361-The Woodside Community School,Queens,39-07 57 Street,Woodside,NY,11377,40.74774,-73.90608,402,Woodside,26,257,2,QN63,4543408,4012280048,POINT (-73.90608 40.74774),14787,53,3,33,66
06/01/2019,Educational Services,Compass,COMPASS Middle School,African Refuge Inc.,AR Inc Youth Center,NULL,140 Park Hill Ave,Staten Island,NY,10304,40.61662,-74.08069,NULL,NULL,NULL,,NULL,NULL,,,POINT (-74.08069 40.61662),10691,4,1,13,74
06/01/2019,Educational Services,Compass,COMPASS Elementary,"East Side House, Inc.",P.S. 179,Bronx,468 EAST 140 STREET,BRONX,NY,10454,40.80953,-73.9199,NULL,NULL,Council District 08 Bronx,39,NULL,BX39,2000308,2022840034,POINT (-73.9199 40.80953),10932,49,5,35,23
06/01/2019,Educational Services,Cornerstone,Cornerstone,"CAMBA, Inc.",Stuyvesant - CAMBA,Brooklyn,214 Stuyvesant Avenue,Brooklyn,NY,11221,40.68798,-73.93307,NULL,NULL,Council District 36 Brooklyn,293,NULL,BK35,3044631,3016350041,POINT (-73.93307 40.68798),18181,69,2,49,52
06/01/2019,Educational Services,Compass,COMPASS Middle School,Play Study Win Inc,Soundview Academy for Culture and Scholarship,Bronx,885 BOLTON AVENUE,BRONX,NY,10473,40.82353,-73.85966,NULL,NULL,Council District 18 Bronx,42,NULL,BX09,2103869,2036440001,POINT (-73.85966 40.82353),11611,58,5,31,26
06/01/2019,Educational Services,Compass,COMPASS Middle School,"Global Kids, Inc.",Washington Heights Expeditionary Learning School,Manhattan,511 WEST 182ND STREET,MANHATTAN,NY,10033,40.8491,-73.93111,NULL,NULL,NULL,,NULL,NULL,1063703,1021550035,POINT (-73.93111 40.8491),13091,47,4,39,22
06/01/2019,Educational Services,SYEP,Older Youth (OY),"Aspira of New York, Inc.",IS 224,Bronx,345 BROOK Avenue,Bronx,NY,10454,40.81004,-73.91779,NULL,NULL,Council District 08 Bronx,41,NULL,BX39,2000391,2022860036,POINT (-73.91779 40.81004),10932,49,5,35,23
06/01/2019,Educational Services,Literacy and Immigrant Services,ESL Civics,Chinese-American Planning Council Inc,Chinese American Planning Council,Queens,136-18 39th Avenue,Flushing,NY,11354,40.76033,-73.82983,Queens CD 007,Flushing,Council District 020 Queens,871,Queens Neighborhood Development Area 007,QN22,4112492,4049800011,POINT (-73.82983 40.76033),13832,22,3,3,67
06/01/2019,Educational Services,Compass,COMPASS Middle School,"Roads to Success, Inc",P.S. 333 Manhattan School for Children,Manhattan,154 WEST 93 STREET,MANHATTAN,NY,10025,40.79171,-73.9708,NULL,NULL,Council District 06 Manhattan,177,NULL,MN12,1032522,1012230005,POINT (-73.9708 40.79171),12422,20,4,19,15
06/01/2019,Educational Services,SYEP,SYEP School-Based,"Samuel Field YM & YWHA, Inc.",Pan American International High School,Queens,45-10 94TH STREET,QUEENS,NY,11373,40.74373,-73.87064,Queens CD 004,Elmhurst,Council District 025 Queens,463,Queens Neighborhood Development Area 004,QN29,4437166,4016000061,POINT (-73.87064 40.74373),14784,66,3,5,68
06/01/2019,Educational Services,Literacy and Immigrant Services,Adult Literacy - BENL/ESOL,Henry Street Settlement,99 Essex Street,Manhattan,"99 Essex Street, 3rd Floor",New York,NY,10002,40.71894,-73.98801,Manhattan CD 003,Chinatown,Council District 001 Manhattan,18,Manhattan Neighborhood Development Area 003,MN27,1087565,1004100064,POINT (-73.98801 40.71894),11723,70,4,32,4
06/01/2019,Educational Services,Compass,COMPASS Middle School,New York Center for Interpersonal Development Inc,Staten Island School of Civic Leadership,NULL,280 REGIS DRIVE,STATEN ISLAND,NY,10314,40.62045,-74.16442,NULL,NULL,NULL,,NULL,NULL,,,POINT (-74.16442000000002 40.62045),10700,4,1,13,75
06/01/2019,Educational Services,Compass,COMPASS Middle School,"Samuel Field YM & YWHA, Inc.",P.S./M.S. 200 - The Magnet School of Global Studies and Leadership,Queens,70-10 164 STREET,QUEENS,NY,11365,40.73137,-73.80512,NULL,NULL,Council District 24 Queens,122701,NULL,QN38,4146990,4067890001,POINT (-73.80512 40.731370000000005),14507,25,3,24,65
06/01/2019,Educational Services,Cornerstone,Cornerstone,"BronxWorks, Inc.",Betances - Bronx Works,Bronx,465 St. Ann's Ave.,Bronx,NY,10455,40.81249,-73.91436,NULL,NULL,Council District 08 Bronx,43,NULL,BX39,2093910,2022720119,POINT (-73.91436 40.81249),10933,49,5,35,23
06/01/2019,Family Support,Beacon,Beacon,SCO Family of Services,P.S. 503/506,Brooklyn,330 59 STREET,BROOKLYN,NY,11220,40.64212,-74.019,NULL,NULL,Council District 38 Brooklyn,74,NULL,BK32,3016258,3008620012,POINT (-74.019 40.64212),18180,9,2,7,45
06/01/2019,Family Support,Literacy and Immigrant Services,ESL Civics,"Mosholu Montefiore Community Center, Inc.",NYCHA,Bronx,785 Pelham Pkwy North,Bronx,NY,10467,40.85791,-73.86461,Bronx CD 011,Bronxdale,Council District 013 Bronx,328,Bronx Neighborhood Development Area 011,BX07,2093364,2043490001,POINT (-73.86461 40.85791),11271,59,5,12,32
06/01/2019,Family Support,CSBG,NDA Healthy Families,Jacob A. Riis Neighborhood Settlement,"Jacob A. Riis Neighborhood Settlement, Inc.",Queens,10-25 41st Avenue,Long Island City,NY,11101,40.75549,-73.94533,Queens CD 001,Queensbridge-Ravenswood-Long Island City,Council District 026 Queens,25,Queens Neighborhood Development Area 001,QN68,4433386,4004700100,POINT (-73.94533 40.75549),16858,39,3,33,72
06/01/2019,Housing Support,CSBG,Housing,University Settlement Society of New York,Project Home,Manhattan,189 ALLEN STREET,manhattan,NY,10002,40.72213,-73.98896,Manhattan CD 003,Chinatown,Council District 001 Manhattan,3601,Manhattan Neighborhood Development Area 003,MN27,1005537,1004170001,POINT (-73.98896000000002 40.72213),11723,70,4,32,2
06/01/2019,Family Support,CSBG,High School,Research Foundation of CUNY,Midwood High School,Brooklyn,2839 Bedford Avenue,Brooklyn,NY,11210,40.63329,-73.95288,Brooklyn CD 014,Flatbush,Council District 045 Brooklyn,772,Brooklyn Neighborhood Development Area 014,BK42,3205788,3075530041,POINT (-73.95288 40.63329),17217,60,2,26,43
06/01/2019,Family Support,Cornerstone,Cornerstone,Flatbush Development Corporation,Kingsborough - Flatbush Development,NULL,129 Kings 1st Street Walk,Brooklyn,NY,11233,40.71536,-73.96159,NULL,NULL,NULL,,NULL,NULL,,,POINT (-73.96159 40.71536),17613,36,2,30,56
06/01/2019,Family Support,Cornerstone,Cornerstone,Brooklyn Bureau of Community Service,Carey Gardens - BBCS,Brooklyn,2315 Surf Avenue,Brooklyn,NY,11224,40.57396,-73.98988,NULL,NULL,Council District 47 Brooklyn,326,NULL,BK21,3321840,3070560014,POINT (-73.98988 40.57396),18184,21,2,45,35
06/01/2019,Family Support,Beacon,Beacon,Sunnyside Community Services Inc,The Children's Lab School,Queens,45-45  42nd Street,Queens,NY,11104,40.74257,-73.9226,Queens CD 002,Hunters Point-Sunnyside-West Maspeth,Council District 026 Queens,18102,NDA Not-defined,QN31,4540402,4001690006,POINT (-73.9226 40.74257),16861,53,3,33,66
06/01/2019,Family Support,Cornerstone,Cornerstone,"El Puente De Williamsburg, Inc.",Independence Towers - El Puente,Brooklyn,114 Taylor Street,Brooklyn,NY,11211,40.70551,-73.9637,NULL,NULL,Council District 33 Brooklyn,545,NULL,BK72,3059905,3021760001,POINT (-73.9637 40.70551),17613,36,2,38,56
06/01/2019,Family Support,RHY,Drop-in Centers,"Safe Horizon, Inc",Uptown Drop-In Center,Manhattan,209 West  125 Street,New York,NY,10027,40.80919,-73.94882,110,Central Harlem South,9,222,10,MN11,1058660,1019310027,POINT (-73.94882 40.80919),12424,18,4,36,18
06/01/2019,Family Support,Beacon,Beacon,"CAMBA, Inc.",Eagle Academy for Young Men,Brooklyn,1137 HERKIMER STREET,BROOKLYN,NY,11233,40.6778,-73.91584,NULL,NULL,Council District 41 Brooklyn,301,NULL,BK79,3042157,3015500001,POINT (-73.91584 40.6778),13516,55,2,17,46
06/01/2019,Educational Services,SYEP,Older Youth (OY),SCO Family of Services,Sunset Park High School,Brooklyn,153 35th Street,Brooklyn,NY,11232,40.65571,-74.0052,Brooklyn CD 007,Sunset Park West,Council District 038 Brooklyn,84,Brooklyn Neighborhood Development Area 007,BK32,3394175,3006880050,POINT (-74.0052 40.65571),13515,9,2,7,45
06/01/2019,Educational Services,SYEP,Older Youth (OY),"Roads to Success, Inc",Roads to Success,Manhattan,174 East  104 Street,New York,NY,10029,40.79054,-73.94631,111,East Harlem South,8,166,11,MN33,1051932,1016310044,POINT (-73.94631 40.79054),12426,7,4,35,14
06/01/2019,Family Support,Beacon,Beacon,"Samuel Field YM & YWHA, Inc.",JHS 216 GEORGE J RYAN (Q216),Queens,69-10 65th Drive,QUEENS,NY,11379,40.71534,-73.88622,NULL,NULL,Council District 30 Queens,659,NULL,QN21,4070445,4030270037,POINT (-73.88622 40.715340000000005),15309,54,3,34,62
06/01/2019,Family Support,Beacon,Beacon,Brooklyn Bureau of Community Service,Dr. Susan S. Mckinney Secondary School,Brooklyn,101 PARK AVENUE,BROOKLYN,NY,11205,40.69692,-73.97606,NULL,NULL,NULL,,NULL,NULL,3057942,3020280001,POINT (-73.97606 40.69692),17212,68,2,48,55
06/01/2019,Educational Services,Compass,COMPASS Middle School,Variety Boys and Girls Club of Queens Inc,Variety Boys and Girls Club of Queens,Queens,21-12 30th Road,NULL,NY,11102,40.76896,-73.92827,NULL,NULL,Council District 22 Queens,79,NULL,QN71,4006319,4005500007,POINT (-73.92827 40.76896),16859,39,3,4,72
06/01/2019,Jobs and Internships,SYEP,Year Round Sector Focus,"United Activities Unlimited, Inc.",UAU Mid-Island,Staten Island,278 New Drop Lane,NULL,NY,,,,NULL,NULL,NULL,,NULL,NULL,,,,,,,,
06/01/2019,Immigrant Services,Literacy and Immigrant Services,ESL Civics,"Jewish Community Council of Greater Coney Island, Inc.",350 Port Richmond Ave.,NULL,350 Port Richmond Avenue,Staten Island,NY,10302,40.63333,-74.13694,Richmond CD 001,Port Richmond,Council District 049 Richmond,,Richmond Neighborhood Development Area 001,NULL,,,POINT (-74.13694 40.63333),10370,4,1,13,75
06/01/2019,Jobs and Internships,SYEP,Older Youth (OY),Community Association of Progressive Dominicans Inc,SYEP Option 2 OY- Bronx,Bronx,1865 MORRIS AVENUE,BRONX,NY,10453,40.84855,-73.90842,NULL,NULL,Council District 14 Bronx,23301,NULL,BX41,2007902,2028270001,POINT (-73.90842 40.84855),10931,6,5,29,29
06/01/2019,Jobs and Internships,SYEP,Older Youth (OY),Community Association of Progressive Dominicans Inc,SYEP Option 2 OY Manhattan,Manhattan,"3940 Broadway  , 2nd Fl.",New York,NY,10032,40.83928,-73.94105,Manhattan CD 012,Washington Heights South,Council District 010 Manhattan,251,Manhattan Neighborhood Development Area 012,MN36,1087469,1021240043,POINT (-73.94105 40.83928),13090,47,4,39,21
06/01/2019,Immigrant Services,Literacy and Immigrant Services,ESL Civics,"Korean Community Services of Metropolitan New York, Inc.",Korean Community Service of Metropolitan New York (KCS),Queens,35-56 159th Street,Flushing,NY,11358,40.76526,-73.80616,Queens CD 007,Murray Hill,Council District 019 Queens,1171,NDA Not-defined,QN51,4119327,4052740070,POINT (-73.80616 40.76526),14193,22,3,20,67
06/01/2019,Jobs and Internships,YAIP,YAIP,Henry Street Settlement,Henry Street Settlement Workforce Development Center,Manhattan,99 Essex Street,New York,NY,10002,40.71894,-73.98801,Manhattan CD 003,Chinatown,Council District 001 Manhattan,18,Manhattan Neighborhood Development Area 003,MN27,1087565,1004100064,POINT (-73.98801 40.71894),11723,70,4,32,4
06/01/2019,Jobs and Internships,SYEP,SYEP School-Based,Chinese-American Planning Council Inc,Brooklyn International High School,Queens,144-80 Barclay Ave,Flushing,NY,11354,40.75984,-73.82055,Queens CD 007,Murray Hill,Council District 020 Queens,863,NDA Not-defined,QN51,4114763,4050510027,POINT (-73.82055 40.75984),14190,22,3,3,67
